Item_Weight,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Item_Outlet_Sales_BOXCOX,Item_Fat_Content_Regular,Item_Type_Group2,Item_Type_Group3,Item_Type_Group4,Item_Type_Group5,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,Outlet_Establishment_Year_1987,Outlet_Establishment_Year_1997,Outlet_Establishment_Year_1998,Outlet_Establishment_Year_1999,Outlet_Establishment_Year_2002,Outlet_Establishment_Year_2004,Outlet_Establishment_Year_2007,Outlet_Establishment_Year_2009,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Visibility_SQRT
17.1,0.0467696,141.1838,3,1,2247.7408,48.066738736186934,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.21626280308920443
10.5,0.116576702,163.121,3,1,1794.331,43.85856002748792,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3414333053467397
14.15,0.035913805,41.4138,3,1,812.276,31.64479735139692,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.18950937971509485
13.3,0.079806266,232.53,1,3,699.09,29.723082814157728,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.2825000283185827
8.89,0.005505481,102.4016,1,2,2732.4432,52.021297487188605,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.07419892856369288
11.94125,0.064625342,176.937,1,3,176.437,16.427865526681916,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25421514903718856
11.94125,0.071636937,121.7098,2,1,4097.3332,61.23819513042464,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2676507743310301
7.5,0.032677678,239.0906,2,3,5942.265,71.05784590717163,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.18076968219256237
16.85,0.160760054,192.4478,2,2,4843.695,65.48502233350258,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.4009489418866198
7.485,0.06911065,109.0228,1,2,2542.0244,50.52366252237652,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.26288904503611404
11.6,0.041177505,140.3154,1,2,2552.6772,50.609234192559455,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.20292241128076516
11.65,0.040081193,227.0694,2,1,1141.847,36.44073596111416,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.2002028795996701
13.0,0.035307322,47.5034,2,2,680.4476,29.38858933028339,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.18790242680710648
12.65,0.063017847,159.0578,2,2,2085.9514,46.630804258230285,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.25103355751771517
20.25,0.171938781,92.512,2,1,186.424,16.835362528208034,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4146550144397147
8.6,0.040197932,190.153,1,2,3036.048,54.28173526855463,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.20049421936804063
12.6,0.049058014,62.7194,1,2,866.8716,32.51296402893844,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.2214904377168459
17.7,0.01161096,95.041,1,2,868.869,32.54407971661177,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.10775416465269451
14.15,0.183507295,82.4276,1,3,1137.1864,36.37933016566303,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.42837751458264006
19.25,0.102349519,52.7956,1,2,928.1252,33.44785721420018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.31992111371399046
8.88,0.086708987,151.7682,3,1,762.341,30.818726909743308,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.294463897617348
20.5,0.032835147,40.2822,3,2,707.0796,29.864757433854038,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.18120471020368098
13.5,0.07266912,160.292,1,3,1438.128,40.06559630791386,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.269572105381844
11.94125,0.144338493,224.4404,2,1,6976.2524,75.74899276384593,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.37991906111697005
8.89,0.009163216,101.7016,2,1,101.2016,12.763414166517281,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.09572468856047535
7.855,0.011307038,188.5188,2,1,952.094,33.80333561588236,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.10633455694175813
7.235,0.076855628,116.0492,1,3,1969.4364,45.553702878368924,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.2772284761708292
11.94125,0.059956876,165.4526,2,1,5262.4832,67.6930624717114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24486093195934708
6.92,0.038532062,60.5852,2,2,1314.2892,38.61230498128378,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.19629585324198776
9.3,0.043209581,90.8172,2,2,535.3032,26.56717619131267,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.20786914393435116
18.5,0.056816465,132.1284,2,1,263.6568,19.608904721572745,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2383620460559944
8.02,0.019866705,154.5972,1,2,1402.1748,39.65187985784785,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.14094929939520806
9.195,0.048331717,105.1622,1,2,1693.7952,42.83891485786778,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.2198447565897354
12.8,0.091221855,105.5938,1,2,2143.876,47.15252883480528,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.30202955981161844
16.6,0.027622076,177.6344,2,3,2676.516,51.588278622546625,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.16619890493020703
16.0,0.060836524,226.8404,1,2,6301.1312,72.73910674404137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.24665061118918802
17.6,0.082316506,160.692,1,2,1597.92,41.83124500103084,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.28690853246287396
21.25,0.155350299,178.237,1,2,529.311,26.44108433270153,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3941450228025212
7.235,0.076841095,117.5492,1,2,1969.4364,45.553702878368924,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2772022636992707
14.6,0.151419185,50.3692,1,2,1034.6532,34.987256690856015,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.38912618133453836
13.85,0.026001976,161.521,2,1,1794.331,43.85856002748792,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.16125128216544513
13.65,0.073209447,197.6426,2,1,2768.3964,52.29679453110299,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.2705724431644878
11.94125,0.041683481,31.29,2,1,898.83,33.00562824721323,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20416532761465644
7.365,0.042560252,226.172,1,3,3169.208,55.22926718971967,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.20630136208954122
18.35,0.014081156,223.5746,2,1,3589.9936,58.07166084377772,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.11866404678755903
18.6,0.152918384,99.8358,2,2,1910.1802,44.99083956629376,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.39104780270447753
13.85,0.030969274,140.9154,2,2,1701.7848,42.92128644766285,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.17598089100808645
14.0,0.060376776,154.5656,3,1,2471.4496,49.95109947334087,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.24571686144829377
14.0,0.04192285,54.764,3,1,1331.6,38.82037770006381,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2047507020744984
11.94125,0.077367431,97.0094,2,1,1808.9786,44.004158675706215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.27815001527952504
